Büfe Adı,İlçe,Mahalle,Adres,(B)üfe / (S)atış Noktası
Arnavutköy Merkez,ARNAVUTKÖY,Arnavutköy Merkez,Arnavutköy merkez ilkoğretim yanı.Yıldırım Beyazıt cd. ARNAVUTKÖY,B
Boğazköy coşkun büfe,ARNAVUTKÖY,Boğazköy Merkez,Arnavutköy merkez ilkoğretim yanı.Yıldırım beyazıt cd,B
Hadımköy toki büfe,ARNAVUTKÖY,Hadımköy,"Cahit sıtkı tarancı cd,toki çarşı yanı",B
Haraççı büfe,ARNAVUTKÖY,karlıbayır mah.,Rıza bey sk no 7,B
ELÇİ MARKET,ARNAVUTKÖY,,ADNAN MENDERES MAH. AYDIN TUH.SK. NO 3,S
AKGÜL MARKET,ARNAVUTKÖY,ANADOLU MAH,ANADOLU MAH. HÜDA SK.NO 5/A1,S
AKTAŞ GIDA,ARNAVUTKÖY,YAVUZ SELİM MAH,YAVUZ SELİM MAH.TÜRKİYE CAD NO:53-1,S
ASMAR MARKET,ARNAVUTKÖY,YAVUZ SELİM MAH,KIBRIS CD NO 3,S
BAYINDIR SÜPER MARKET,ARNAVUTKÖY,BOĞAZKÖY MERKEZ MAH,FEVZİ ÇAKMAK CD,S
ÇAY MARKET,ARNAVUTKÖY,ÖMERLİ MAH.,TERME SK.KİPTAŞ KONUTLARI ÇARŞI NO 13,S
ÇELİK MEGA MARKET,ARNAVUTKÖY,İSLAMBEY MAH,BOSNA CADDESİ 24/A,S
ÇONTAYLAR SAT.NOK,ARNAVUTKÖY,,İMRAHOR KÖYÜ BARBAROS CAD. NO:14,S
DAŞCİ GIDA,ARNAVUTKÖY,ANADOLU MAH,N. FAZIL CD NO 71/A1,S
DİRHEM GIDA,ARNAVUTKÖY,BOĞAZKÖY,MİLLİ EGEMENLİK CD NO 37,S
EMRE GIDA,ARNAVUTKÖY,ANADOLU MAH.,HÜDA SK.NO 5/A1,S
EMRE HİPERMARKET,ARNAVUTKÖY,HARAÇÇI KARLIBAYIR MAH,3010 CD NO,S
HUZUR KASAP 3,ARNAVUTKÖY,KARLIBAYIR MAH.,KARLIBAYIR MAH.KIZILERİK SK. NO:25,S
MERT GIDA,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,BOĞAZKÖY İSTİKLAL MAH.MİLLİ EGEMENLİK C AD.NO:103A/1 /ARNAVUTKÖY,S
ÖREN MARKET,ARNAVUTKÖY,MUSTAFA KEMALPAŞA MAH.,MUSTAFA KEMALPAŞA MAH. FENER SK. NO:9/1,S
PERMAR GIDA,ARNAVUTKÖY,YAVUZ SELİM MAH.,MEHMET SEVBAN CAD.NO:72/A/ARNAVUTKÖY,S
SARIKAYA MARKET,ARNAVUTKÖY,HİCRET MAH,LİMON ÇİÇEĞİ SK. NO 15,S
SAYGILI GIDA,ARNAVUTKÖY,HASTANE MAH,KORU SK NO 29,S
SOYSAL GIDA,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH.,MUSTAFA KEMAL PAŞA MAH. YÖRE SK. NO:34,S
SÜTÇÜ ALAEDDİN,ARNAVUTKÖY,HARAÇÇI,HARAÇÇI MAH.HADIMKÖY YOLU CAD.NO:28/1,S
YILDIZ MARKET,ARNAVUTKÖY,,PİRİNÇÇİ MAH PİRİNÇÇİ KÖYÜ YOLU SK NO 113,S
ZENGİN MARKET,ARNAVUTKÖY,İMRAHOR KÖYÜ,BARBAROS CAD. NO:14,S
ABDULKADİR KAYA - FETİH BÜFE,ATAŞEHİR,FETİH,FETİH MAH.MAREŞAL FEVZİ ÇAKMAK İLE,B
ADEM DEMİR-ESATPAŞA BÜFE,ATAŞEHİR,ESATPAŞA,ESATPAŞA MAH.ZİYA PAŞA CAD.HACIBEKİR,B
AHMET GÜNER-ATAŞEHİR SU DEPOSU,ATAŞEHİR,KAYIŞDAĞI,KAYIŞDAĞI CADDESİ KIRMIZI SÜMBÜL SOKAK KESİŞİMİ,B
BATANAY BÜFE - NURETTİN ARICI,ATAŞEHİR,ÖRNEK,,B
CANAN TAŞCI-ÖRNEK BÜFE,ATAŞEHİR,ÖRNEK,ÖRNEK MAH.35.CAD. H.REİS İETT DURAĞI YANI,B
DAVUT VARICI-ATAŞEHİR FİDAN BÜFE,ATAŞEHİR,İNÖNÜ,İNÖNÜ MAH.KAİNAT CAD. NO:31/5,B
FATMA DOYMUŞ -FERHATPAŞA BÜFE,ATAŞEHİR,FERHATPAŞA,FERHATPAŞA MAH.MARAŞAL FEVZİ ÇAKMAK CD.İLE 25.SK. KESİŞİMİ,B
FİLİZ ULUÇAY-YEŞİLYAMAÇ BÜFE,ATAŞEHİR,YENİŞEHİR,YENİ ÇAMLICA MAH. TÜRKİŞ BLOKLARI,B
HATİCE AYDIN-ÇİFTLİKYOLU BÜFE,ATAŞEHİR,İÇERENKÖY,KARAMAM ÇİFTLİKYOLU ESTON BLOKLARI YANI,B
KAZIM USTA - KOZYATAĞI METRO BÜFE,ATAŞEHİR,İÇERENKÖY,ATAŞEHİR D100 KARAYOLU CARREFOUR MEVKİİ,B
KEMAL ÇELİK-ATAŞEHİR MERKEZ,ATAŞEHİR,BATI ATAŞEHİR,ATAŞEHİR BULVARI GARDENYA PLAZA ÖNÜ,B
KERİM AKBULUT-KÖŞEM BÜFE,ATAŞEHİR,İÇERENKÖY,İÇERENKÖY MAH.ALANALDI CAD.NO:1/B,B
MENEKŞE AKYOL-TÜRKİŞ MERKEZ BÜFE,ATAŞEHİR,MEVLANA,TÜRKİŞ BLOKLARI 7302.PARSEL ÖNÜ,B
SALAHİDDİN KİMYON-ATAŞEHİR YEDİTEPE,ATAŞEHİR,KAYIŞDAĞI,KAYIŞDAĞI MAH.YAVUZBEY SOKAK GİRİŞİ,B
ŞABAN YILDIRIM - BOSTANCI KÖPRÜ,ATAŞEHİR,İÇERENKÖY,KÜÇÜKBAKKALKÖY MAH. AĞA SOK. 4/5,B
TEVFİK YILDIZ-K.BAKKALKÖY MERKEZ,ATAŞEHİR,KÜÇÜKBAKKALKÖY,TEVFİK FİKRET CAD.KASTELLİ BLOKLARI,B
YAŞAR ÖZEK-MALAZGİRT BÜFE,ATAŞEHİR,MEVLANA,MEVLANA MH. KIBRIS. CD NO:34,B
ZUHNİYE ÖLÇER-KAYIŞDAĞI KAR BÜFE,ATAŞEHİR,İNÖNÜ,KAYIŞDAĞI CAD. KAR SOKAK GİRİŞİ,B
BEZİRGANBAŞI GIDA,ATAŞEHİR,KAYIŞDAĞI MAH.,KAYIŞDAĞI CAD. USLU CAD. NO:90 /10 ATAŞEHİR,S
HASKÖY PEYNİRCİLİK,ATAŞEHİR,BARBAROS MAH.,BARBAROS MAH.MİMARSİNAN CD.NO 101,S
SESA PASTANESİ,ATAŞEHİR,YENİSAHRA MAH.,YENİSAHRA FATİH CAD. NO.27,S
ÜÇLER GIDA,ATAŞEHİR,M.KEMAL MAH.,M.KEMAL MAH.3004 CD.NO 37,S
ÜNLÜ GIDA,ATAŞEHİR,YENİÇAMLICA,YENİ ÇAMLICA MAH SEVİLAY SK.27 A ATAŞEHİR,S
Avcılar Geçit büfe,AVCILAR,Üniversite mah.,Pelikan mall alışveriş merkezi önü e-5 üst geşit altı,B
Avcılar Merkez,AVCILAR,Ambarlı,Avcılar merkez Belediye Meydanı yanı,B
FİRÜZKÖY BÜFE,AVCILAR,FİRÜZKÖY MAH.,FİRÜZKÖY HASAN ÖNAL CD 189 ADA BOŞ ARSA ÖNÜ,B
Gümüşpala,AVCILAR,Gümüşpala,DENİZKÖŞKLERİ MH.ZAFER CD.ÜST GEÇİT ALTI,B
İNSA BÜFE,AVCILAR,AMBARLI MAH.,AMBARLI MH.FEVZİ ÇAKMAK CD.AMBARLI İETT DURAĞI YANI,B
CİHANGİR MARKET,AVCILAR,,CİHANGİR MAH TALATPAŞA CD DAMLA SK,S
EKLER CITY,AVCILAR,MER.MH,NAMIK KEMAL CD. NO.59,S
HANEDAN GIDA,AVCILAR,TAHTAKALE MAH.,ÖZGÜRLÜK SK. NO:12,S
İDEM ET GIDA,AVCILAR,MERKEZ MAH.,AVCILAR METROBÜS DURAĞI ÜST GEÇİT ALTI,S
İKLİM ZEYTİNCİLİK,AVCILAR,ÜNİVERSİTE MAH,İSTİKLAL CD.NO 7,S
KARABACAK MARKET,AVCILAR,TAHTAKALE MAH,YOLUÇ CD. NO 40,S
KISMET GIDA,AVCILAR,FİRÜZKÖY MAH,PLEVNE CDNO 42,S
KIZÇELER MARKET,AVCILAR,FÜRUZKÖY MAH,FÜRUZKÖY MAH YURTSEVEN SK ŞAHİN APT NO:10/B,S
KONUT YAPI ÖZ,AVCILAR,CİHANGİR MH,MEŞRUTİYET CD.DEMİRCİ SK.NO.18,S
